controle_id,execution_id,piece_id,cause_rebut_id,date_controle,resultat,nb_controles,nb_conformes,nb_non_conformes,dimension_mesuree,dimension_cible,tolerance_plus,tolerance_moins,rugosite_mesuree,commentaire
1,1,1,8,2025-01-13T15:31:00,NON_CONFORME,7,2,5,29.891,29.899,0.02,-0.02,6.055,
2,2,1,2,2025-01-15T10:10:00,NON_CONFORME,2,0,5,97.129,97.06,0.1,-0.1,4.81,
3,3,1,6,2025-01-11T12:27:00,NON_CONFORME,8,3,5,38.296,38.295,0.01,-0.01,0.899,
4,4,1,12,2025-01-12T14:16:00,NON_CONFORME,8,7,1,72.714,72.713,0.01,-0.01,5.932,
5,5,1,10,2025-01-12T10:28:00,NON_CONFORME,3,0,6,39.317,39.319,0.01,-0.01,0.807,
6,6,1,5,2026-05-14T12:21:00,NON_CONFORME,7,6,1,65.581,65.59,0.02,-0.02,2.508,
7,7,1,11,2026-05-09T16:51:00,NON_CONFORME,2,0,3,79.472,79.475,0.01,-0.01,6.141,
8,8,1,4,2026-05-12T09:32:00,NON_CONFORME,5,3,2,88.467,88.453,0.02,-0.02,4.301,
9,9,1,,2026-05-11T19:07:00,CONFORME,3,3,0,26.861,26.853,0.05,-0.05,5.052,
10,10,1,10,2025-06-27T12:21:00,NON_CONFORME,2,0,3,36.105,36.076,0.1,-0.1,0.421,
11,11,1,12,2025-06-30T11:42:00,NON_CONFORME,7,5,2,21.386,21.398,0.1,-0.1,0.83,
12,12,1,4,2025-06-30T10:32:00,NON_CONFORME,9,8,1,68.789,68.788,0.01,-0.01,5.937,
13,13,1,10,2025-06-25T17:46:00,NON_CONFORME,3,0,3,52.121,52.14,0.05,-0.05,5.589,
14,14,1,11,2025-06-30T16:50:00,NON_CONFORME,10,8,2,15.618,15.637,0.05,-0.05,5.479,
15,15,1,,2025-12-11T11:07:00,CONFORME,3,3,0,24.876,24.863,0.1,-0.1,4.738,
16,16,1,2,2025-12-12T09:35:00,NON_CONFORME,3,1,2,80.614,80.635,0.1,-0.1,1.182,
17,17,1,,2025-12-10T17:09:00,CONFORME,4,4,0,69.057,69.054,0.01,-0.01,3.676,
18,18,1,4,2025-12-10T16:22:00,NON_CONFORME,3,2,1,68.015,68.022,0.02,-0.02,0.815,
19,19,1,6,2025-12-15T15:37:00,NON_CONFORME,7,6,1,78.348,78.366,0.05,-0.05,4.015,
20,20,1,2,2025-07-10T07:49:00,NON_CONFORME,10,1,9,86.156,86.153,0.01,-0.01,5.687,
21,21,1,11,2025-07-11T13:36:00,NON_CONFORME,8,3,5,38.306,38.347,0.1,-0.1,3.082,
22,22,1,6,2025-07-11T12:49:00,NON_CONFORME,7,2,5,30.861,30.92,0.1,-0.1,4.473,
23,23,1,12,2026-04-23T16:08:00,NON_CONFORME,10,6,4,64.868,64.864,0.01,-0.01,0.406,
24,24,1,9,2026-04-22T10:41:00,NON_CONFORME,5,1,4,66.352,66.429,0.1,-0.1,1.319,
25,25,1,,2026-04-26T18:25:00,CONFORME,10,10,0,17.337,17.324,0.02,-0.02,2.826,
26,26,1,3,2026-04-22T08:36:00,NON_CONFORME,10,8,2,73.803,73.775,0.05,-0.05,1.034,
27,27,1,,2026-04-23T19:10:00,CONFORME,2,2,0,91.008,91.001,0.02,-0.02,0.571,
28,28,1,9,2026-04-24T07:32:00,NON_CONFORME,5,3,2,86.797,86.801,0.01,-0.01,2.683,
29,29,1,2,2026-04-24T07:44:00,NON_CONFORME,8,7,1,33.589,33.639,0.1,-0.1,3.531,
30,30,1,,2026-11-30T19:16:00,CONFORME,2,2,0,80.5,80.43,0.1,-0.1,2.844,
31,31,1,2,2026-11-25T11:31:00,NON_CONFORME,6,4,2,65.821,65.809,0.1,-0.1,3.756,
32,32,1,1,2026-11-27T15:13:00,NON_CONFORME,10,6,4,55.849,55.842,0.02,-0.02,2.577,
33,33,1,3,2026-11-25T12:19:00,NON_CONFORME,7,6,1,79.617,79.623,0.01,-0.01,0.525,
34,34,1,11,2026-11-29T07:10:00,NON_CONFORME,1,0,1,55.112,55.094,0.05,-0.05,4.407,
35,35,1,,2026-11-26T08:48:00,CONFORME,4,4,0,37.842,37.847,0.01,-0.01,3.259,
36,36,1,11,2025-11-25T10:24:00,NON_CONFORME,2,0,2,35.121,35.133,0.05,-0.05,1.785,
37,37,1,5,2025-11-22T08:28:00,NON_CONFORME,7,0,7,57.821,57.864,0.1,-0.1,5.353,
38,38,1,9,2025-11-21T19:31:00,NON_CONFORME,7,1,6,66.739,66.751,0.1,-0.1,0.903,
39,39,1,4,2025-11-24T06:54:00,NON_CONFORME,8,6,2,37.997,38.0,0.02,-0.02,5.14,
40,40,1,10,2025-11-24T08:58:00,NON_CONFORME,2,0,6,77.814,77.783,0.05,-0.05,0.494,
41,41,1,,2025-02-27T12:16:00,CONFORME,4,4,0,79.622,79.617,0.02,-0.02,4.841,
42,42,1,,2025-03-02T09:58:00,CONFORME,7,7,0,29.691,29.638,0.1,-0.1,3.956,
43,43,1,,2025-02-28T17:32:00,CONFORME,3,3,0,96.602,96.608,0.01,-0.01,4.888,
44,44,1,,2025-02-26T15:07:00,CONFORME,8,8,0,34.813,34.811,0.02,-0.02,5.942,
45,45,1,5,2025-02-27T11:30:00,NON_CONFORME,10,9,1,30.829,30.837,0.1,-0.1,6.163,
46,46,1,,2026-04-09T09:02:00,CONFORME,6,6,0,90.01,90.038,0.1,-0.1,3.279,
47,47,1,,2026-04-11T09:56:00,CONFORME,10,10,0,46.997,46.998,0.05,-0.05,5.268,
