execution_outil_id,execution_id,outil_id,usure_debut,usure_fin,duree_utilisation
1,1,87,26,26,20
2,2,56,25,26,39
3,3,20,142,143,14
4,4,26,114,114,4
5,5,51,570,571,24
6,6,95,46,48,16
7,7,103,391,399,65
8,8,52,740,740,11
9,9,101,1686,1686,21
10,10,52,740,741,14
11,11,81,36,37,23
12,12,78,29,31,24
13,13,137,33,34,33
14,14,64,33,35,16
15,15,145,147,148,9
16,16,99,20,21,33
17,17,126,86,86,13
18,18,136,114,117,32
19,19,100,3,3,6
20,20,136,117,117,8
21,21,21,14,15,22
22,22,99,21,21,17
23,23,111,80,81,9
24,24,6,28,32,54
25,25,89,5,11,48
26,26,149,7,9,25
27,27,78,31,32,19
28,28,112,49,52,22
29,29,92,71,71,19
30,30,82,77,77,10
31,31,98,79,81,18
32,32,26,114,117,30
33,33,117,38,38,19
34,34,46,1529,1534,63
35,35,135,129,130,19
36,36,106,672,672,4
37,37,61,5,12,49
38,38,16,20,21,29
39,39,60,25,29,36
40,40,33,55,55,9
41,41,145,148,148,3
42,42,99,21,24,26
43,43,126,86,87,20
44,44,117,38,39,34
45,45,100,3,3,11
46,46,52,741,741,7
47,47,40,30,31,23
48,48,65,54,55,36
49,49,46,1534,1535,16
50,50,120,44,45,16
51,51,123,56,56,5
52,52,31,43,44,13
53,53,105,466,471,47
54,54,91,20,23,56
55,55,67,37,37,5
56,56,42,136,136,11
57,57,83,135,136,25
58,58,118,51,52,11
59,59,133,58,59,14
60,60,125,85,88,52
61,61,79,9,14,53
62,62,124,43,44,28
63,63,149,9,10,11
64,64,133,59,62,22
65,65,97,26,28,21
66,66,84,84,86,23
67,67,64,35,36,18
68,68,18,43,43,7
69,69,67,37,38,23
70,70,32,68,72,43
71,71,105,471,471,8
72,72,96,57,61,34
73,73,11,68,68,9
74,74,95,48,48,4
75,75,59,9,10,25
76,76,84,86,87,36
77,77,108,2196,2197,27
78,78,103,399,399,15
79,79,56,26,28,18
80,80,51,571,572,17
81,81,75,26,26,7
82,82,49,724,724,10
83,83,84,87,88,12
84,84,62,52,54,20
85,85,123,56,56,20
86,86,116,84,85,17
87,87,131,27,29,15
88,88,98,81,84,26
89,89,60,29,30,26
90,90,74,84,88,44
91,91,54,193,194,17
92,92,54,194,194,19
93,93,148,56,63,61
94,94,78,32,35,50
95,95,2,17,18,16
96,96,26,117,117,5
97,97,59,10,10,17
98,98,62,54,61,60
99,99,94,141,141,15
100,100,52,741,750,63
101,101,136,117,119,18
102,102,8,35,35,9
103,103,135,130,132,17
104,104,24,117,117,15
105,105,138,66,67,20
106,106,66,142,143,14
107,107,51,572,572,10
108,108,30,67,68,10
109,109,144,98,101,24
110,110,33,55,55,14
111,111,22,51,54,21
112,112,97,28,28,4
113,113,24,117,118,23
114,114,17,89,90,15
115,115,107,1143,1143,7
116,116,54,194,195,32
117,117,42,136,138,22
118,118,100,3,6,27
119,119,20,143,144,9
120,120,53,497,499,20
121,121,132,132,136,52
122,122,76,50,50,8
123,123,73,74,75,9
124,124,49,724,726,57
125,125,145,148,151,21
126,126,68,138,138,11
127,127,14,58,61,30
128,128,88,125,128,28
129,129,11,68,69,18
130,130,81,37,38,16
131,131,144,101,101,17
132,132,23,80,82,22
133,133,147,68,69,11
134,134,80,44,44,20
135,135,5,50,50,12
136,136,102,1016,1018,16
137,137,113,45,46,8
138,138,73,75,76,15
139,139,14,61,62,23
140,140,67,38,39,20
141,141,59,10,11,13
142,142,81,38,39,21
143,143,136,119,120,23
144,144,132,136,137,13
145,145,85,14,20,45
146,146,124,44,47,25
147,147,36,129,131,15
148,148,78,35,35,7
149,149,24,118,120,21
150,150,89,11,13,19
151,151,67,39,39,8
152,152,17,90,91,30
153,153,4,27,30,22
154,154,38,0,5,40
155,155,146,38,41,26
156,156,16,21,22,16
157,157,40,31,32,11
158,158,58,17,23,47
159,159,137,34,34,19
160,160,111,81,81,20
161,161,125,88,91,57
162,162,10,77,77,6
163,163,127,3,5,21
164,164,86,34,37,44
165,165,149,10,12,24
166,166,143,53,57,48
167,167,68,138,138,7
168,168,34,67,68,16
169,169,64,36,38,21
170,170,132,137,143,49
171,171,115,50,52,22
172,172,36,131,131,4
173,173,44,108,109,13
174,174,45,51,54,28
175,175,24,120,122,28
176,176,30,68,71,58
177,177,83,136,139,50
178,178,111,81,81,9
179,179,43,121,121,8
180,180,146,41,46,55
181,181,102,1018,1022,47
182,182,131,29,30,18
183,183,92,71,72,18
184,184,50,128,129,16
185,185,59,11,13,20
186,186,130,31,34,26
187,187,99,24,29,43
188,188,64,38,39,12
189,189,48,1134,1135,16
190,190,78,35,36,11
191,191,127,5,6,19
192,192,127,6,6,6
193,193,3,22,22,10
194,194,18,43,44,12
195,195,47,253,257,34
196,196,106,672,675,55
197,197,99,29,30,22
198,198,99,30,32,20
199,199,52,750,751,15
200,200,40,32,33,22
201,201,65,55,58,40
202,202,46,1535,1536,13
203,203,55,841,842,12
204,204,123,56,56,10
205,205,108,2197,2197,4
206,206,82,77,79,22
207,207,126,87,88,21
208,208,56,28,29,12
209,209,118,52,57,36
210,210,69,37,37,6
211,211,73,76,77,16
212,212,104,408,412,38
213,213,60,30,33,60
214,214,85,20,20,13
215,215,147,69,69,7
216,216,97,28,30,51
217,217,13,73,78,41
218,218,81,39,40,31
219,219,65,58,59,30
220,220,130,34,35,13
221,221,23,82,82,6
222,222,77,40,42,57
223,223,14,62,63,16
224,224,52,751,751,16
225,225,72,51,52,23
226,226,125,91,95,29
227,227,126,88,91,29
228,228,18,44,45,11
229,229,130,35,35,1
230,230,133,62,66,30
231,231,98,84,85,26
232,232,3,22,22,9
233,233,44,109,110,14
234,234,75,26,27,13
235,235,101,1686,1687,14
236,236,8,35,36,26
237,237,9,13,16,58
238,238,36,131,131,7
239,239,41,10,11,15
240,240,71,8,9,15
241,241,64,39,42,31
242,242,87,26,29,39
243,243,107,1143,1144,18
244,244,47,257,259,22
245,245,88,128,129,13
246,246,108,2197,2202,52
247,247,31,44,44,10
248,248,43,121,123,29
249,249,16,22,23,9
250,250,135,132,135,25
251,251,77,42,48,43
252,252,70,40,41,35
253,253,150,103,106,42
254,254,23,82,83,10
255,255,88,129,129,7
256,256,108,2202,2208,64
257,257,31,44,45,15
258,258,43,123,126,28
259,259,16,23,23,4
260,260,26,117,117,17
261,261,147,69,70,24
262,262,21,15,22,57
263,263,94,141,141,9
264,264,52,751,758,58
265,265,136,120,121,9
266,266,66,143,143,2
267,267,30,71,75,33
268,268,21,22,25,27
269,269,109,1069,1070,14
270,270,120,45,46,8
271,271,114,137,138,22
272,272,81,40,41,11
273,273,23,83,84,12
274,274,121,0,0,21
275,275,48,1135,1141,56
276,276,95,48,56,64
277,277,129,49,50,20
278,278,146,46,46,8
279,279,119,53,54,13
280,280,61,12,13,11
281,281,121,0,1,13
282,282,132,143,144,13
283,283,126,91,92,25
284,284,133,66,66,13
285,285,26,117,118,10
286,286,147,70,71,25
287,287,62,61,65,55
288,288,94,141,142,15
289,289,52,758,761,54
290,290,136,121,121,8
291,291,48,1141,1141,14
292,292,18,45,46,34
293,293,18,46,46,23
294,294,101,1687,1688,19
295,295,100,6,7,14
296,296,125,95,95,8
297,297,121,1,2,11
298,298,132,144,144,8
299,299,126,92,95,25
300,300,133,66,66,11
301,301,39,46,47,23
302,302,114,138,138,26
303,303,38,5,11,46
304,304,15,12,12,10
305,305,17,91,91,10
306,306,64,42,44,41
307,307,119,54,54,15
308,308,132,144,144,6
309,309,136,121,122,10
310,310,21,25,25,20
311,311,99,32,34,22
312,312,14,63,63,6
313,313,59,13,14,16
314,314,92,72,79,55
315,315,77,48,53,54
316,316,53,499,499,2
317,317,60,33,35,18
318,318,12,37,38,28
319,319,43,126,128,28
320,320,32,72,72,2
321,321,99,34,36,16
322,322,83,139,140,38
323,323,71,9,10,27
324,324,75,27,27,10
325,325,100,7,14,63
326,326,45,54,56,27
327,327,15,12,12,8
