gamme_id,code,designation,piece_id,nb_phases,duree_totale_estimee,version,statut
1,GAM0001,Gamme Pignon REF-PIG-0128,128,4,60,2.0,ACTIVE
2,GAM0002,Gamme Engrenage REF-ENG-0232,232,6,167,1.0,ACTIVE
3,GAM0003,Gamme Pignon REF-PIG-0263,263,4,100,2.0,ACTIVE
4,GAM0004,Gamme Ecrou REF-ECR-0284,284,5,165,1.0,ACTIVE
5,GAM0005,Gamme Ecrou REF-ECR-0149,149,5,177,1.0,ACTIVE
6,GAM0006,Gamme Bague REF-BAG-0092,92,5,113,2.0,ACTIVE
7,GAM0007,Gamme Douille REF-DOU-0181,181,5,172,2.0,ACTIVE
8,GAM0008,Gamme Plaque REF-PLA-0274,274,4,105,2.0,ACTIVE
9,GAM0009,Gamme Clavette REF-CLA-0268,268,3,46,2.0,ACTIVE
10,GAM0010,Gamme Ecrou REF-ECR-0029,29,3,54,1.0,ACTIVE
11,GAM0011,Gamme Manivelle REF-MAN-0129,129,3,56,1.0,ACTIVE
12,GAM0012,Gamme Bague REF-BAG-0152,152,4,85,1.0,ACTIVE
13,GAM0013,Gamme Engrenage REF-ENG-0232,232,3,62,1.0,ACTIVE
14,GAM0014,Gamme Rond REF-RON-0288,288,4,127,2.0,ACTIVE
15,GAM0015,Gamme Support REF-SUP-0025,25,6,149,2.0,ACTIVE
16,GAM0016,Gamme Palier REF-PAL-0161,161,7,216,1.0,OBSOLETE
17,GAM0017,Gamme Manivelle REF-MAN-0129,129,4,97,2.0,ACTIVE
18,GAM0018,Gamme Manivelle REF-MAN-0189,189,5,186,1.0,ACTIVE
19,GAM0019,Gamme Support REF-SUP-0100,100,4,100,1.0,ACTIVE
20,GAM0020,Gamme Manivelle REF-MAN-0039,39,3,67,1.0,ACTIVE
21,GAM0021,Gamme Bague REF-BAG-0062,62,4,77,2.0,ACTIVE
22,GAM0022,Gamme Douille REF-DOU-0136,136,3,75,2.0,OBSOLETE
23,GAM0023,Gamme Ecrou REF-ECR-0239,239,5,141,1.0,OBSOLETE
24,GAM0024,Gamme Douille REF-DOU-0166,166,5,74,2.0,ACTIVE
25,GAM0025,Gamme Manivelle REF-MAN-0294,294,5,113,1.0,ACTIVE
26,GAM0026,Gamme Clavette REF-CLA-0163,163,5,119,1.0,ACTIVE
27,GAM0027,Gamme Plaque REF-PLA-0259,259,3,50,2.0,ACTIVE
28,GAM0028,Gamme Manivelle REF-MAN-0114,114,6,175,2.0,ACTIVE
29,GAM0029,Gamme Douille REF-DOU-0151,151,4,84,2.0,ACTIVE
30,GAM0030,Gamme Flasque REF-FLA-0005,5,3,79,2.0,ACTIVE
31,GAM0031,Gamme Flasque REF-FLA-0125,125,7,209,2.0,ACTIVE
32,GAM0032,Gamme Ecrou REF-ECR-0059,59,4,95,2.0,OBSOLETE
33,GAM0033,Gamme Support REF-SUP-0265,265,6,152,2.0,ACTIVE
34,GAM0034,Gamme Coussinet REF-COU-0261,261,4,126,1.0,ACTIVE
