matiere_id,code,designation,type_matiere,nuance,densite,prix_kg,unite
1,MAT001,Acier C45,Acier,C45,7.85,2.5,kg
2,MAT002,Acier C45E,Acier,C45E,7.85,2.8,kg
3,MAT003,Acier 20MnCr5,Acier,20MnCr5,7.85,3.2,kg
4,MAT004,Acier 42CrMo4,Acier,42CrMo4,7.85,3.8,kg
5,MAT005,Acier 16MnCr5,Acier,16MnCr5,7.85,2.9,kg
6,MAT006,Acier 34CrNiMo6,Acier,34CrNiMo6,7.85,4.5,kg
7,MAT007,Acier 100Cr6,Acier,100Cr6,7.85,4.0,kg
8,MAT008,Acier X40CrMoV5,Acier,X40CrMoV5,7.85,5.2,kg
9,MAT009,Acier S355J2,Acier,S355J2,7.85,2.1,kg
10,MAT010,Acier E360,Acier,E360,7.85,2.0,kg
11,MAT011,Inox 304L,Inox,304L,7.9,8.5,kg
12,MAT012,Inox 316L,Inox,316L,7.98,9.2,kg
13,MAT013,Inox 310S,Inox,310S,7.98,10.0,kg
14,MAT014,Inox 410,Inox,410,7.75,6.0,kg
15,MAT015,Inox 420,Inox,420,7.75,5.5,kg
16,MAT016,Inox 17-4PH,Inox,17-4PH,7.78,12.0,kg
17,MAT017,Aluminium 5083,Aluminium,5083,2.66,4.5,kg
18,MAT018,Aluminium 6061,Aluminium,6061,2.7,3.8,kg
19,MAT019,Aluminium 6082,Aluminium,6082,2.71,3.9,kg
20,MAT020,Aluminium 7075,Aluminium,7075,2.81,7.5,kg
21,MAT021,Aluminium 2017,Aluminium,2017,2.79,4.2,kg
22,MAT022,Aluminium 5754,Aluminium,5754,2.66,4.0,kg
23,MAT023,Cuivre CuZn39Pb3,Cuivre,CuZn39Pb3,8.47,7.0,kg
24,MAT024,Cuivre CuSn8,Cuivre,CuSn8,8.78,9.5,kg
25,MAT025,Cuivre CuAl10Ni5Fe5,Cuivre,CuAl10Ni5Fe5,7.6,11.0,kg
26,MAT026,Cuivre E-Cu57,Cuivre,E-Cu57,8.9,8.0,kg
27,MAT027,Plastique PA66,Plastique,PA66,1.14,3.5,kg
28,MAT028,Plastique POM,Plastique,POM,1.41,2.8,kg
29,MAT029,Plastique PTFE,Plastique,PTFE,2.15,12.0,kg
30,MAT030,Plastique PEEK,Plastique,PEEK,1.3,85.0,kg
31,MAT031,Plastique POM-C,Plastique,POM-C,1.41,3.0,kg
