outil_id,code,designation,type_outil,diametre,matiere_outil,duree_vie_totale,usure_actuelle,duree_vie_restante,cout_achat,cout_remplacement,disponible
1,OUT0001,Foret HSS 3.0mm,Foret,3.0,HSS,507,28,479,9.68,11.71,1
2,OUT0002,Foret HSS 4.0mm,Foret,4.0,HSS,294,17,277,38.51,52.78,1
3,OUT0003,Foret HSS 5.0mm,Foret,5.0,HSS,459,22,437,41.57,46.26,1
4,OUT0004,Foret HSS 6.0mm,Foret,6.0,HSS,227,27,200,30.56,40.98,1
5,OUT0005,Foret HSS 8.0mm,Foret,8.0,HSS,467,50,417,75.55,104.3,1
6,OUT0006,Foret HSS 10.0mm,Foret,10.0,HSS,394,28,366,70.43,85.31,1
7,OUT0007,Foret HSS 12.0mm,Foret,12.0,HSS,183,48,135,123.03,169.69,1
8,OUT0008,Foret HSS 14.0mm,Foret,14.0,HSS,354,35,319,61.59,91.33,1
9,OUT0009,Foret HSS 16.0mm,Foret,16.0,HSS,352,13,339,61.36,69.87,1
10,OUT0010,Foret HSS 20.0mm,Foret,20.0,HSS,356,77,279,107.61,120.24,1
11,OUT0011,Foret Carbure 6.0mm,Foret,6.0,Carbure,415,68,347,24.74,36.34,1
12,OUT0012,Foret Carbure 8.0mm,Foret,8.0,Carbure,220,37,183,83.72,112.8,1
13,OUT0013,Foret Carbure 10.0mm,Foret,10.0,Carbure,365,73,292,47.31,53.36,1
14,OUT0014,Foret Carbure 12.0mm,Foret,12.0,Carbure,518,58,460,119.49,178.53,1
15,OUT0015,Foret Carbure 14.0mm,Foret,14.0,Carbure,299,12,287,89.9,115.19,1
16,OUT0016,Foret Carbure 16.0mm,Foret,16.0,Carbure,366,20,346,101.31,119.93,1
17,OUT0017,Foret Carbure 20.0mm,Foret,20.0,Carbure,316,89,227,228.6,310.72,1
18,OUT0018,Foret Carbure 25.0mm,Foret,25.0,Carbure,491,43,448,195.18,233.81,1
19,OUT0019,Fraise Carbure 6.0mm,Fraise,6.0,Carbure,416,48,368,32.58,47.9,1
20,OUT0020,Fraise Carbure 8.0mm,Fraise,8.0,Carbure,532,142,390,39.81,48.95,1
21,OUT0021,Fraise Carbure 10.0mm,Fraise,10.0,Carbure,573,14,559,50.61,56.32,1
22,OUT0022,Fraise Carbure 12.0mm,Fraise,12.0,Carbure,341,51,290,64.92,76.89,1
23,OUT0023,Fraise Carbure 16.0mm,Fraise,16.0,Carbure,470,80,390,78.62,102.18,1
24,OUT0024,Fraise Carbure 20.0mm,Fraise,20.0,Carbure,509,117,392,85.72,99.08,1
25,OUT0025,Fraise Carbure 25.0mm,Fraise,25.0,Carbure,561,143,418,196.27,274.54,1
26,OUT0026,Fraise HSS 8.0mm,Fraise,8.0,HSS,399,114,285,66.01,82.17,1
27,OUT0027,Fraise HSS 10.0mm,Fraise,10.0,HSS,250,65,185,74.42,104.36,1
28,OUT0028,Fraise HSS 12.0mm,Fraise,12.0,HSS,236,19,217,103.76,147.01,1
29,OUT0029,Fraise HSS 16.0mm,Fraise,16.0,HSS,396,76,320,57.15,71.59,1
30,OUT0030,Alesoir Carbure 10.0mm,Alesoir,10.0,Carbure,419,67,352,52.63,69.54,1
31,OUT0031,Alesoir Carbure 12.0mm,Alesoir,12.0,Carbure,185,43,142,113.84,156.27,1
32,OUT0032,Alesoir Carbure 14.0mm,Alesoir,14.0,Carbure,454,68,386,138.84,171.62,1
33,OUT0033,Alesoir Carbure 16.0mm,Alesoir,16.0,Carbure,330,55,275,70.77,77.94,1
34,OUT0034,Alesoir Carbure 18.0mm,Alesoir,18.0,Carbure,549,67,482,211.45,297.04,1
35,OUT0035,Alesoir Carbure 20.0mm,Alesoir,20.0,Carbure,439,27,412,216.69,264.23,1
36,OUT0036,Alesoir Carbure 25.0mm,Alesoir,25.0,Carbure,507,129,378,212.02,246.18,1
37,OUT0037,Taraud HSS 4.0mm,Taraud,4.0,HSS,570,41,529,31.42,44.35,1
38,OUT0038,Taraud HSS 5.0mm,Taraud,5.0,HSS,451,0,451,41.95,54.34,1
39,OUT0039,Taraud HSS 6.0mm,Taraud,6.0,HSS,237,46,191,65.45,93.77,1
40,OUT0040,Taraud HSS 8.0mm,Taraud,8.0,HSS,337,30,307,28.17,40.88,1
41,OUT0041,Taraud HSS 10.0mm,Taraud,10.0,HSS,220,10,210,95.87,136.75,1
42,OUT0042,Taraud HSS 12.0mm,Taraud,12.0,HSS,569,136,433,118.71,136.68,1
43,OUT0043,Taraud Carbure 6.0mm,Taraud,6.0,Carbure,423,121,302,47.69,57.52,1
44,OUT0044,Taraud Carbure 8.0mm,Taraud,8.0,Carbure,490,108,382,93.43,137.49,1
45,OUT0045,Taraud Carbure 10.0mm,Taraud,10.0,Carbure,566,51,515,94.17,118.62,1
46,OUT0046,Plateau Acier 200.0mm,Plateau,200.0,Acier,7502,1529,5973,1388.58,1814.92,1
47,OUT0047,Plateau Acier 250.0mm,Plateau,250.0,Acier,2991,253,2738,1255.57,1550.92,1
48,OUT0048,Plateau Acier 300.0mm,Plateau,300.0,Acier,6819,1134,5685,1521.31,1807.45,1
49,OUT0049,Mandrin Acier 80.0mm,Mandrin,80.0,Acier,2581,724,1857,694.39,827.42,1
50,OUT0050,Mandrin Acier 100.0mm,Mandrin,100.0,Acier,9417,128,9289,1073.67,1211.47,1
51,OUT0051,Mandrin Acier 125.0mm,Mandrin,125.0,Acier,3949,570,3379,1127.6,1336.99,1
52,OUT0052,Mandrin Acier 160.0mm,Mandrin,160.0,Acier,3083,740,2343,1827.14,2427.2,1
53,OUT0053,Mandrin serrage Acier 50.0mm,Mandrin serrage,50.0,Acier,5872,497,5375,503.08,715.88,1
54,OUT0054,Mandrin serrage Acier 63.0mm,Mandrin serrage,63.0,Acier,3559,193,3366,243.96,310.42,1
55,OUT0055,Mandrin serrage Acier 80.0mm,Mandrin serrage,80.0,Acier,5469,841,4628,576.26,801.94,1
56,OUT0056,Foret HSS 3.0mm,Foret,3.0,HSS,524,25,499,10.64,14.8,1
57,OUT0057,Foret HSS 4.0mm,Foret,4.0,HSS,589,27,562,20.95,24.64,1
58,OUT0058,Foret HSS 5.0mm,Foret,5.0,HSS,409,17,392,33.98,41.16,1
59,OUT0059,Foret HSS 6.0mm,Foret,6.0,HSS,307,9,298,41.93,60.57,1
60,OUT0060,Foret HSS 8.0mm,Foret,8.0,HSS,461,25,436,27.64,41.45,1
61,OUT0061,Foret HSS 10.0mm,Foret,10.0,HSS,187,5,182,113.37,163.19,1
62,OUT0062,Foret HSS 12.0mm,Foret,12.0,HSS,265,52,213,88.45,104.86,1
63,OUT0063,Foret HSS 14.0mm,Foret,14.0,HSS,385,115,270,49.39,61.82,1
64,OUT0064,Foret HSS 16.0mm,Foret,16.0,HSS,379,33,346,181.42,256.54,1
65,OUT0065,Foret HSS 20.0mm,Foret,20.0,HSS,326,54,272,185.39,258.1,1
66,OUT0066,Foret Carbure 6.0mm,Foret,6.0,Carbure,581,142,439,53.74,69.58,1
67,OUT0067,Foret Carbure 8.0mm,Foret,8.0,Carbure,277,37,240,39.67,44.57,1
68,OUT0068,Foret Carbure 10.0mm,Foret,10.0,Carbure,556,138,418,35.49,43.49,1
69,OUT0069,Foret Carbure 12.0mm,Foret,12.0,Carbure,205,37,168,87.49,128.41,1
70,OUT0070,Foret Carbure 14.0mm,Foret,14.0,Carbure,451,40,411,49.17,64.07,1
71,OUT0071,Foret Carbure 16.0mm,Foret,16.0,Carbure,275,8,267,133.69,183.17,1
72,OUT0072,Foret Carbure 20.0mm,Foret,20.0,Carbure,300,51,249,81.58,118.79,1
73,OUT0073,Foret Carbure 25.0mm,Foret,25.0,Carbure,306,74,232,208.77,281.37,1
74,OUT0074,Fraise Carbure 6.0mm,Fraise,6.0,Carbure,394,84,310,49.52,64.83,1
75,OUT0075,Fraise Carbure 8.0mm,Fraise,8.0,Carbure,313,26,287,72.22,88.52,1
76,OUT0076,Fraise Carbure 10.0mm,Fraise,10.0,Carbure,315,50,265,41.78,56.75,1
77,OUT0077,Fraise Carbure 12.0mm,Fraise,12.0,Carbure,414,40,374,136.33,200.99,1
78,OUT0078,Fraise Carbure 16.0mm,Fraise,16.0,Carbure,184,29,155,137.45,182.15,1
79,OUT0079,Fraise Carbure 20.0mm,Fraise,20.0,Carbure,231,9,222,156.77,204.17,1
80,OUT0080,Fraise Carbure 25.0mm,Fraise,25.0,Carbure,247,44,203,273.19,396.59,1
81,OUT0081,Fraise HSS 8.0mm,Fraise,8.0,HSS,369,36,333,35.36,50.69,1
82,OUT0082,Fraise HSS 10.0mm,Fraise,10.0,HSS,540,77,463,85.05,127.14,1
83,OUT0083,Fraise HSS 12.0mm,Fraise,12.0,HSS,514,135,379,36.84,52.56,1
84,OUT0084,Fraise HSS 16.0mm,Fraise,16.0,HSS,333,84,249,62.92,91.31,1
85,OUT0085,Alesoir Carbure 10.0mm,Alesoir,10.0,Carbure,315,14,301,110.07,153.76,1
