phase_gamme_id,gamme_id,numero_phase,designation,machine_id,outil_id,programme_id,temps_usinage_prevu,temps_reglage_prevu,exigence_technique
1,1,1,Phase 1 - Réglement / Montage,9,49,154,8,8,Perpendicularité 0.02mm
2,1,2,Phase 2 - Fraisage,9,49,72,12,6,Surface Ra 3.2µm
3,1,3,Phase 3 - Perçage,4,126,200,7,10,Alésage H7
4,1,4,Phase 4 - Ébavurage,8,5,19,8,1,Rayon R0.2 max
5,2,1,Phase 1 - Réglement / Montage,1,104,61,5,19,Parallélisme 0.01mm
6,2,2,Phase 2 - Perçage,4,19,19,9,9,Diamètre ±0.02mm
7,2,3,Phase 3 - Fraisage,6,63,360,18,3,Parallélisme 0.03mm
8,2,4,Phase 4 - Fraisage,9,25,234,49,5,Surface Ra 3.2µm
9,2,5,Phase 5 - Perçage,3,30,255,24,5,Diamètre ±0.02mm
10,2,6,Phase 6 - Contrôle qualité,4,87,378,17,4,PDT 100%
11,3,1,Phase 1 - Réglement / Montage,6,140,71,7,11,Centrage ±0.02mm
12,3,2,Phase 2 - Fraisage,9,17,62,27,5,Profondeur ±0.05mm
13,3,3,Phase 3 - Tournage,5,142,85,38,6,Surface Ra 1.6µm
14,3,4,Phase 4 - Ébavurage,9,97,399,5,1,Rayon R0.2 max
15,4,1,Phase 1 - Débit / Tronçonnage,1,46,46,14,7,Planarite 0.3mm
16,4,2,Phase 2 - Fraisage,9,33,106,19,13,Planéité 0.02mm
17,4,3,Phase 3 - Fraisage,9,62,90,49,14,Surface Ra 3.2µm
18,4,4,Phase 4 - Fraisage,9,23,322,29,8,Profondeur ±0.05mm
19,4,5,Phase 5 - Ébavurage,7,50,61,11,1,
20,5,1,Phase 1 - Débit / Tronçonnage,11,130,113,10,8,Longueur ±1mm
21,5,2,Phase 2 - Tournage,2,29,77,53,10,Diamètre ±0.01mm
22,5,3,Phase 3 - Tournage,1,14,331,33,7,Cylindricité 0.02mm
23,5,4,Phase 4 - Fraisage,9,117,23,16,14,Surface Ra 3.2µm
24,5,5,Phase 5 - Contrôle qualité,5,41,15,20,6,PDT 100%
25,6,1,Phase 1 - Débit / Tronçonnage,7,114,304,12,4,
26,6,2,Phase 2 - Tournage,5,59,399,17,8,Cylindricité 0.02mm
27,6,3,Phase 3 - Tournage,7,52,193,24,4,Diamètre ±0.01mm
28,6,4,Phase 4 - Fraisage,6,112,75,23,12,Profondeur ±0.05mm
29,6,5,Phase 5 - Ébavurage,3,35,235,6,3,Rayon R0.2 max
30,7,1,Phase 1 - Débit / Tronçonnage,5,9,355,12,2,Planarite 0.3mm
31,7,2,Phase 2 - Tournage,7,118,215,20,15,Concentricité 0.01mm
32,7,3,Phase 3 - Tournage,5,41,327,49,5,Cylindricité 0.02mm
33,7,4,Phase 4 - Tournage,10,126,111,47,10,Diamètre ±0.01mm
34,7,5,Phase 5 - Ébavurage,4,64,127,8,4,
35,8,1,Phase 1 - Débit / Tronçonnage,12,39,294,3,5,Cote brute ±0.5mm
36,8,2,Phase 2 - Tournage,7,130,18,37,11,Diamètre ±0.01mm
37,8,3,Phase 3 - Fraisage,6,116,254,25,4,Surface Ra 3.2µm
38,8,4,Phase 4 - Contrôle qualité,4,56,68,16,4,Mesure 3 points
39,9,1,Phase 1 - Réglement / Montage,2,5,246,6,10,
40,9,2,Phase 2 - Perçage,3,117,238,9,8,Perpendicularité 0.05mm
41,9,3,Phase 3 - Contrôle qualité,3,119,361,5,8,PDT 100%
42,10,1,Phase 1 - Débit / Tronçonnage,3,136,17,7,5,Planarite 0.3mm
43,10,2,Phase 2 - Perçage,4,21,318,15,2,Alésage H7
44,10,3,Phase 3 - Contrôle qualité,2,99,188,19,6,PDT 100%
45,11,1,Phase 1 - Débit / Tronçonnage,5,144,361,4,6,Longueur ±1mm
46,11,2,Phase 2 - Tournage,5,62,277,17,13,Diamètre ±0.01mm
47,11,3,Phase 3 - Contrôle qualité,6,54,386,12,4,Contrôle dimensionnel
48,12,1,Phase 1 - Réglement / Montage,11,109,142,2,7,Perpendicularité 0.02mm
49,12,2,Phase 2 - Fraisage,9,129,270,17,10,Planéité 0.02mm
50,12,3,Phase 3 - Fraisage,9,17,97,39,4,Surface Ra 3.2µm
51,12,4,Phase 4 - Ébavurage,5,74,40,4,2,Rayon R0.2 max
52,13,1,Phase 1 - Débit / Tronçonnage,5,128,78,6,6,Cote brute ±0.5mm
53,13,2,Phase 2 - Tournage,10,34,243,32,9,Diamètre ±0.01mm
54,13,3,Phase 3 - Contrôle qualité,1,75,97,7,2,Mesure 3 points
55,14,1,Phase 1 - Réglement / Montage,11,86,211,7,15,
56,14,2,Phase 2 - Fraisage,9,118,156,46,5,Planéité 0.02mm
57,14,3,Phase 3 - Tournage,5,59,248,33,7,Surface Ra 1.6µm
58,14,4,Phase 4 - Ébavurage,10,117,86,12,2,
59,15,1,Phase 1 - Réglement / Montage,5,45,363,4,10,Parallélisme 0.01mm
60,15,2,Phase 2 - Tournage,5,148,65,38,7,Concentricité 0.01mm
61,15,3,Phase 3 - Tournage,10,9,341,30,8,Cylindricité 0.02mm
62,15,4,Phase 4 - Fraisage,6,137,155,17,3,Profondeur ±0.05mm
63,15,5,Phase 5 - Rectification,5,118,164,12,3,Parallélisme 0.01mm
64,15,6,Phase 6 - Contrôle qualité,10,122,149,9,8,
65,16,1,Phase 1 - Débit / Tronçonnage,2,123,21,5,7,Cote brute ±0.5mm
66,16,2,Phase 2 - Tournage,7,57,229,32,4,Concentricité 0.01mm
67,16,3,Phase 3 - Tournage,2,150,270,24,15,Concentricité 0.01mm
68,16,4,Phase 4 - Tournage,1,138,229,53,13,Surface Ra 1.6µm
69,16,5,Phase 5 - Rectification,4,50,252,18,3,Parallélisme 0.01mm
70,16,6,Phase 6 - Fraisage,9,95,198,33,3,Planéité 0.02mm
71,16,7,Phase 7 - Ébavurage,10,115,288,4,2,
72,17,1,Phase 1 - Réglement / Montage,4,114,148,4,18,
73,17,2,Phase 2 - Tournage,10,23,74,23,7,Diamètre ±0.01mm
74,17,3,Phase 3 - Rectification,11,86,34,26,9,Surface Ra 0.8µm
75,17,4,Phase 4 - Ébavurage,9,70,213,5,5,Rayon R0.2 max
76,18,1,Phase 1 - Réglement / Montage,5,52,96,8,14,
77,18,2,Phase 2 - Tournage,5,150,156,41,11,Diamètre ±0.01mm
78,18,3,Phase 3 - Tournage,1,40,135,29,13,Diamètre ±0.01mm
79,18,4,Phase 4 - Tournage,5,107,92,41,14,Cylindricité 0.02mm
80,18,5,Phase 5 - Ébavurage,10,127,35,12,3,
81,19,1,Phase 1 - Débit / Tronçonnage,4,67,322,13,5,Cote brute ±0.5mm
82,19,2,Phase 2 - Fraisage,6,67,84,47,3,Parallélisme 0.03mm
83,19,3,Phase 3 - Tournage,2,92,84,13,7,Concentricité 0.01mm
84,19,4,Phase 4 - Ébavurage,3,13,149,7,5,
85,20,1,Phase 1 - Réglement / Montage,11,50,393,4,8,Parallélisme 0.01mm
86,20,2,Phase 2 - Fraisage,9,78,139,33,4,Planéité 0.02mm
87,20,3,Phase 3 - Contrôle qualité,1,36,266,14,4,
88,21,1,Phase 1 - Débit / Tronçonnage,5,27,112,5,6,Longueur ±1mm
89,21,2,Phase 2 - Perçage,3,107,236,7,3,Perpendicularité 0.05mm
90,21,3,Phase 3 - Rectification,8,90,160,30,8,Cylindricité 0.005mm
91,21,4,Phase 4 - Contrôle qualité,6,134,391,15,3,Contrôle dimensionnel
92,22,1,Phase 1 - Débit / Tronçonnage,2,57,66,14,3,Longueur ±1mm
93,22,2,Phase 2 - Tournage,2,34,41,37,14,Surface Ra 1.6µm
94,22,3,Phase 3 - Ébavurage,8,111,22,6,1,Pas d'arêtes vives
95,23,1,Phase 1 - Réglement / Montage,11,16,241,3,13,Centrage ±0.02mm
96,23,2,Phase 2 - Tournage,1,25,64,48,6,Cylindricité 0.02mm
97,23,3,Phase 3 - Tournage,5,8,47,19,14,Concentricité 0.01mm
98,23,4,Phase 4 - Rectification,3,91,83,24,6,Surface Ra 0.8µm
99,23,5,Phase 5 - Ébavurage,6,4,271,6,2,Rayon R0.2 max
100,24,1,Phase 1 - Débit / Tronçonnage,11,2,372,4,3,
101,24,2,Phase 2 - Fraisage,6,113,345,16,5,Planéité 0.02mm
102,24,3,Phase 3 - Rectification,4,55,264,15,9,Surface Ra 0.8µm
103,24,4,Phase 4 - Perçage,8,32,239,8,10,Perpendicularité 0.05mm
104,24,5,Phase 5 - Ébavurage,3,74,286,3,1,Rayon R0.2 max
105,25,1,Phase 1 - Débit / Tronçonnage,4,73,234,12,7,Planarite 0.3mm
106,25,2,Phase 2 - Perçage,11,58,284,18,6,Taraudage M6
107,25,3,Phase 3 - Tournage,1,122,348,33,5,Surface Ra 1.6µm
108,25,4,Phase 4 - Rectification,8,27,203,22,4,Surface Ra 0.8µm
109,25,5,Phase 5 - Ébavurage,4,27,380,5,1,Rayon R0.2 max
110,26,1,Phase 1 - Réglement / Montage,3,52,305,8,8,Parallélisme 0.01mm
111,26,2,Phase 2 - Perçage,11,72,392,23,6,Taraudage M6
112,26,3,Phase 3 - Fraisage,9,125,262,27,5,Profondeur ±0.05mm
113,26,4,Phase 4 - Tournage,5,126,255,24,13,Cylindricité 0.02mm
114,26,5,Phase 5 - Ébavurage,1,18,256,3,2,Rayon R0.2 max
115,27,1,Phase 1 - Réglement / Montage,3,40,156,3,7,
116,27,2,Phase 2 - Perçage,4,76,339,20,9,Alésage H7
117,27,3,Phase 3 - Contrôle qualité,11,140,10,6,5,PDT 100%
118,28,1,Phase 1 - Débit / Tronçonnage,3,97,227,10,2,Cote brute ±0.5mm
119,28,2,Phase 2 - Tournage,5,43,252,37,5,Concentricité 0.01mm
120,28,3,Phase 3 - Perçage,11,29,292,20,10,Taraudage M6
121,28,4,Phase 4 - Fraisage,6,130,29,35,7,Profondeur ±0.05mm
122,28,5,Phase 5 - Fraisage,9,91,393,28,8,Surface Ra 3.2µm
