piece_id,reference,designation,famille,matiere_id,poids,dimensions,tolerances,prix_revient
1,REF-DOU-0001,Douille 6082 0001,Douille,19,0.917,267x66x88,+/-0.01,15.44
2,REF-BAG-0002,Bague PEEK 0002,Bague,30,6.9425,276x87x68,+/-0.01,1565.02
3,REF-RON-0003,Rond 17-4PH 0003,Rond,16,6.786,228x37x72,+/-0.1,218.54
4,REF-PLA-0004,Plaque 20MnCr5 0004,Plaque,3,2.6108,85x26x26,+/-0.05,33.93
5,REF-FLA-0005,Flasque 6082 0005,Flasque,19,4.4094,176x107x86,+/-0.05,62.5
6,REF-COU-0006,Coussinet 7075 0006,Coussinet,20,3.4701,68x65x65,+/-0.1,122.85
7,REF-ENG-0007,Engrenage 410 0007,Engrenage,14,2.7445,242x112x63,+/-0.01,54.03
8,REF-PIG-0008,Pignon 304L 0008,Pignon,11,5.3376,201x49x97,+/-0.1,121.04
9,REF-MAN-0009,Manivelle PA66 0009,Manivelle,27,0.7286,231x34x57,+/-0.02,9.92
10,REF-SUP-0010,Support 6082 0010,Support,19,7.6552,297x94x95,+/-0.01,105.3
11,REF-PAL-0011,Palier POM 0011,Palier,28,5.3395,226x23x46,+/-0.05,50.52
12,REF-RES-0012,Ressort 6082 0012,Ressort,19,4.0839,89x133x38,+/-0.01,53.76
13,REF-CLA-0013,Clavette 6061 0013,Clavette,18,2.9721,152x67x64,+/-0.01,45.43
14,REF-ECR-0014,Ecrou 5754 0014,Ecrou,22,6.6442,146x17x33,+/-0.05,113.13
15,REF-ARB-0015,Arbre E360 0015,Arbre,10,7.3762,189x11x33,+/-0.02,57.77
16,REF-DOU-0016,Douille 310S 0016,Douille,13,0.6032,25x33x77,+/-0.02,20.75
17,REF-BAG-0017,Bague 420 0017,Bague,15,2.7601,199x89x51,+/-0.01,71.48
18,REF-RON-0018,Rond 16MnCr5 0018,Rond,5,1.3014,35x30x44,+/-0.1,15.68
19,REF-PLA-0019,Plaque 17-4PH 0019,Plaque,16,4.8763,222x79x37,+/-0.01,196.78
20,REF-FLA-0020,Flasque 42CrMo4 0020,Flasque,4,2.3018,259x144x95,+/-0.05,22.86
21,REF-COU-0021,Coussinet 310S 0021,Coussinet,13,7.8763,38x11x36,+/-0.05,383.05
22,REF-ENG-0022,Engrenage CuAl10Ni5Fe5 0022,Engrenage,25,1.141,140x84x51,+/-0.01,31.62
23,REF-PIG-0023,Pignon CuSn8 0023,Pignon,24,3.4737,76x107x78,+/-0.02,123.77
24,REF-MAN-0024,Manivelle PA66 0024,Manivelle,27,5.361,191x28x60,+/-0.01,67.37
25,REF-SUP-0025,Support 420 0025,Support,15,7.3732,170x119x83,+/-0.1,173.31
26,REF-PAL-0026,Palier 410 0026,Palier,14,2.3516,217x15x51,+/-0.02,63.54
27,REF-RES-0027,Ressort 7075 0027,Ressort,20,3.7078,195x32x65,+/-0.01,86.44
28,REF-CLA-0028,Clavette 6082 0028,Clavette,19,3.2336,50x111x49,+/-0.05,38.51
29,REF-ECR-0029,Ecrou CuAl10Ni5Fe5 0029,Ecrou,25,1.3867,271x39x77,+/-0.02,72.68
30,REF-ARB-0030,Arbre 316L 0030,Arbre,12,2.8412,85x70x23,+/-0.02,82.07
31,REF-DOU-0031,Douille 34CrNiMo6 0031,Douille,6,4.8391,48x55x90,+/-0.1,79.7
32,REF-BAG-0032,Bague 6082 0032,Bague,19,6.091,239x92x90,+/-0.05,68.35
33,REF-RON-0033,Rond 20MnCr5 0033,Rond,3,3.7779,165x80x85,+/-0.01,40.86
34,REF-PLA-0034,Plaque 20MnCr5 0034,Plaque,3,2.5177,241x19x17,+/-0.05,36.89
35,REF-FLA-0035,Flasque 20MnCr5 0035,Flasque,3,5.1751,56x139x59,+/-0.1,65.43
36,REF-COU-0036,Coussinet POM-C 0036,Coussinet,31,6.345,31x125x83,+/-0.02,62.89
37,REF-ENG-0037,Engrenage 17-4PH 0037,Engrenage,16,4.0359,41x125x23,+/-0.05,240.02
38,REF-PIG-0038,Pignon 20MnCr5 0038,Pignon,3,4.0612,98x20x41,+/-0.1,64.69
39,REF-MAN-0039,Manivelle 5083 0039,Manivelle,17,4.2058,91x103x57,+/-0.05,65.65
40,REF-SUP-0040,Support CuAl10Ni5Fe5 0040,Support,25,2.74,36x95x18,+/-0.05,82.47
41,REF-PAL-0041,Palier 5754 0041,Palier,22,3.1232,139x48x52,+/-0.01,49.43
42,REF-RES-0042,Ressort 16MnCr5 0042,Ressort,5,7.3381,168x110x26,+/-0.01,69.67
43,REF-CLA-0043,Clavette 310S 0043,Clavette,13,5.1658,178x42x95,+/-0.01,212.58
44,REF-ECR-0044,Ecrou 410 0044,Ecrou,14,4.0925,19x102x49,+/-0.02,119.78
45,REF-ARB-0045,Arbre 304L 0045,Arbre,11,7.584,258x59x38,+/-0.02,186.13
46,REF-DOU-0046,Douille E360 0046,Douille,10,6.7632,61x139x79,+/-0.01,56.2
47,REF-BAG-0047,Bague PTFE 0047,Bague,29,6.1421,77x106x29,+/-0.02,217.59
48,REF-RON-0048,Rond CuZn39Pb3 0048,Rond,23,6.1802,94x122x15,+/-0.1,147.55
49,REF-PLA-0049,Plaque CuSn8 0049,Plaque,24,1.9384,237x82x67,+/-0.02,70.62
50,REF-FLA-0050,Flasque E360 0050,Flasque,10,7.7265,250x59x57,+/-0.1,56.47
51,REF-COU-0051,Coussinet E360 0051,Coussinet,10,6.2361,267x145x63,+/-0.02,56.65
52,REF-ENG-0052,Engrenage E-Cu57 0052,Engrenage,26,4.8571,138x23x92,+/-0.1,182.06
53,REF-PIG-0053,Pignon 6061 0053,Pignon,18,7.4776,274x41x46,+/-0.01,125.25
54,REF-MAN-0054,Manivelle S355J2 0054,Manivelle,9,3.6221,272x47x65,+/-0.01,37.01
55,REF-SUP-0055,Support X40CrMoV5 0055,Support,8,6.5428,188x16x63,+/-0.01,118.78
56,REF-PAL-0056,Palier 316L 0056,Palier,12,1.9244,51x105x38,+/-0.01,58.37
57,REF-RES-0057,Ressort 42CrMo4 0057,Ressort,4,6.7215,181x47x27,+/-0.01,82.17
58,REF-CLA-0058,Clavette PA66 0058,Clavette,27,3.806,81x130x67,+/-0.01,63.47
59,REF-ECR-0059,Ecrou C45 0059,Ecrou,1,2.0846,86x150x87,+/-0.1,14.48
60,REF-ARB-0060,Arbre E360 0060,Arbre,10,1.9392,72x22x40,+/-0.1,15.89
61,REF-DOU-0061,Douille 7075 0061,Douille,20,3.6841,66x137x86,+/-0.01,112.73
62,REF-BAG-0062,Bague 6082 0062,Bague,19,1.9734,83x84x64,+/-0.01,31.07
63,REF-RON-0063,Rond X40CrMoV5 0063,Rond,8,4.5868,105x31x77,+/-0.05,63.66
64,REF-PLA-0064,Plaque 5083 0064,Plaque,17,4.3755,269x15x59,+/-0.1,51.37
65,REF-FLA-0065,Flasque 310S 0065,Flasque,13,7.8493,139x14x55,+/-0.01,263.89
66,REF-COU-0066,Coussinet CuSn8 0066,Coussinet,24,5.274,63x95x27,+/-0.01,169.39
67,REF-ENG-0067,Engrenage 304L 0067,Engrenage,11,6.5174,99x128x99,+/-0.1,225.99
