programme_id,code_programme,nom,version,description,duree_estimee
1,PRG0001,Programme FRAISAGE 0001,V1.1,Programme CNC pour fraisage,30
2,PRG0002,Programme PERCAGE 0002,V2.2,Programme CNC pour percage,92
3,PRG0003,Programme ALÉSAGE 0003,V3.5,Programme CNC pour alésage,15
4,PRG0004,Programme TARAUDAGE 0004,V3.4,Programme CNC pour taraudage,38
5,PRG0005,Programme FINITION 0005,V1.0,Programme CNC pour finition,13
6,PRG0006,Programme TOURNAGE 0006,V1.5,Programme CNC pour tournage,61
7,PRG0007,Programme FRAISAGE 0007,V1.0,Programme CNC pour fraisage,120
8,PRG0008,Programme PERCAGE 0008,V2.0,Programme CNC pour percage,10
9,PRG0009,Programme ALÉSAGE 0009,V2.0,Programme CNC pour alésage,26
10,PRG0010,Programme TARAUDAGE 0010,V3.3,Programme CNC pour taraudage,110
11,PRG0011,Programme FINITION 0011,V3.3,Programme CNC pour finition,68
12,PRG0012,Programme TOURNAGE 0012,V1.3,Programme CNC pour tournage,92
13,PRG0013,Programme FRAISAGE 0013,V2.1,Programme CNC pour fraisage,50
14,PRG0014,Programme PERCAGE 0014,V1.1,Programme CNC pour percage,40
15,PRG0015,Programme ALÉSAGE 0015,V2.3,Programme CNC pour alésage,118
16,PRG0016,Programme TARAUDAGE 0016,V1.0,Programme CNC pour taraudage,83
17,PRG0017,Programme FINITION 0017,V3.4,Programme CNC pour finition,36
18,PRG0018,Programme TOURNAGE 0018,V3.2,Programme CNC pour tournage,68
19,PRG0019,Programme FRAISAGE 0019,V2.4,Programme CNC pour fraisage,66
20,PRG0020,Programme PERCAGE 0020,V1.0,Programme CNC pour percage,40
21,PRG0021,Programme ALÉSAGE 0021,V2.1,Programme CNC pour alésage,58
22,PRG0022,Programme TARAUDAGE 0022,V1.5,Programme CNC pour taraudage,118
23,PRG0023,Programme FINITION 0023,V3.1,Programme CNC pour finition,85
24,PRG0024,Programme TOURNAGE 0024,V3.0,Programme CNC pour tournage,53
