stock_matiere_id,matiere_id,quantite_stock,emplacement,seuil_alerte,date_derniere_maj
1,1,1491.926,SM2-29,29.531,2025-12-31T08:00:00
2,2,1838.215,SM1-17,76.762,2025-12-31T08:00:00
3,3,1497.866,SM2-23,66.366,2025-12-31T08:00:00
4,4,313.545,SM4-2,94.264,2025-12-31T08:00:00
5,5,859.142,SM5-24,50.945,2025-12-31T08:00:00
6,6,1748.786,SM3-16,39.556,2025-12-31T08:00:00
7,7,1124.798,SM4-12,92.219,2025-12-31T08:00:00
8,8,806.02,SM3-27,79.596,2025-12-31T08:00:00
9,9,1732.833,SM3-13,61.268,2025-12-31T08:00:00
10,10,600.764,SM1-19,38.384,2025-12-31T08:00:00
11,11,759.449,SM2-5,74.975,2025-12-31T08:00:00
12,12,1239.978,SM1-1,81.837,2025-12-31T08:00:00
13,13,1804.423,SM5-25,91.59,2025-12-31T08:00:00
14,14,720.948,SM4-13,54.502,2025-12-31T08:00:00
15,15,104.273,SM4-25,48.06,2025-12-31T08:00:00
16,16,1874.037,SM4-14,42.448,2025-12-31T08:00:00
17,17,1320.101,SM3-30,62.24,2025-12-31T08:00:00
18,18,1487.511,SM2-23,63.718,2025-12-31T08:00:00
19,19,800.668,SM2-7,63.499,2025-12-31T08:00:00
20,20,1844.959,SM4-22,64.569,2025-12-31T08:00:00
21,21,1368.445,SM3-6,63.085,2025-12-31T08:00:00
22,22,332.031,SM4-25,45.0,2025-12-31T08:00:00
23,23,1585.802,SM1-4,67.148,2025-12-31T08:00:00
24,24,1747.748,SM3-14,37.074,2025-12-31T08:00:00
25,25,657.034,SM1-7,83.858,2025-12-31T08:00:00
26,26,704.886,SM1-22,29.456,2025-12-31T08:00:00
27,27,1975.997,SM2-18,31.474,2025-12-31T08:00:00
28,28,190.987,SM3-24,84.61,2025-12-31T08:00:00
29,29,866.289,SM5-30,50.507,2025-12-31T08:00:00
30,30,954.165,SM2-6,43.912,2025-12-31T08:00:00
31,31,1575.015,SM4-11,96.428,2025-12-31T08:00:00
