stock_outil_id,outil_id,quantite_stock,emplacement,seuil_alerte,date_derniere_maj
1,1,15,E2-E18,2,2025-12-31T08:00:00
2,2,15,E4-E19,5,2025-12-31T08:00:00
3,3,1,E1-D5,3,2025-12-31T08:00:00
4,4,3,E1-C13,3,2025-12-31T08:00:00
5,5,4,E4-C11,3,2025-12-31T08:00:00
6,6,5,E4-C3,3,2025-12-31T08:00:00
7,7,1,E5-A12,2,2025-12-31T08:00:00
8,8,11,E1-A1,2,2025-12-31T08:00:00
9,9,4,E1-E5,2,2025-12-31T08:00:00
10,10,3,E4-A19,2,2025-12-31T08:00:00
11,11,8,E3-C6,5,2025-12-31T08:00:00
12,12,10,E1-B10,2,2025-12-31T08:00:00
13,13,10,E1-C19,5,2025-12-31T08:00:00
14,14,15,E4-D7,2,2025-12-31T08:00:00
15,15,10,E2-A10,5,2025-12-31T08:00:00
16,16,10,E1-E2,3,2025-12-31T08:00:00
17,17,9,E4-C3,5,2025-12-31T08:00:00
18,18,11,E3-A14,3,2025-12-31T08:00:00
19,19,2,E4-C15,5,2025-12-31T08:00:00
20,20,3,E4-B17,5,2025-12-31T08:00:00
21,21,5,E5-E16,3,2025-12-31T08:00:00
22,22,7,E5-C11,2,2025-12-31T08:00:00
23,23,14,E1-C15,2,2025-12-31T08:00:00
24,24,13,E4-E20,5,2025-12-31T08:00:00
25,25,7,E3-A16,3,2025-12-31T08:00:00
26,26,3,E4-B12,3,2025-12-31T08:00:00
27,27,6,E3-E9,5,2025-12-31T08:00:00
28,28,1,E5-B3,2,2025-12-31T08:00:00
29,29,12,E4-D18,2,2025-12-31T08:00:00
30,30,12,E4-D15,2,2025-12-31T08:00:00
31,31,2,E3-B13,5,2025-12-31T08:00:00
32,32,4,E3-E12,3,2025-12-31T08:00:00
33,33,9,E5-C14,5,2025-12-31T08:00:00
34,34,9,E3-C15,3,2025-12-31T08:00:00
35,35,5,E3-B4,5,2025-12-31T08:00:00
36,36,4,E3-A18,5,2025-12-31T08:00:00
37,37,3,E2-B16,3,2025-12-31T08:00:00
38,38,12,E5-E20,3,2025-12-31T08:00:00
39,39,2,E2-C8,3,2025-12-31T08:00:00
40,40,3,E3-A18,2,2025-12-31T08:00:00
41,41,5,E1-A18,3,2025-12-31T08:00:00
42,42,12,E2-D4,2,2025-12-31T08:00:00
43,43,10,E3-D16,3,2025-12-31T08:00:00
44,44,6,E2-A9,3,2025-12-31T08:00:00
45,45,2,E1-D16,2,2025-12-31T08:00:00
46,46,10,E1-B5,5,2025-12-31T08:00:00
47,47,5,E1-B4,5,2025-12-31T08:00:00
48,48,13,E4-E20,5,2025-12-31T08:00:00
49,49,4,E5-D15,3,2025-12-31T08:00:00
50,50,5,E5-D10,5,2025-12-31T08:00:00
51,51,10,E1-E4,2,2025-12-31T08:00:00
52,52,11,E2-C3,2,2025-12-31T08:00:00
53,53,4,E2-E3,2,2025-12-31T08:00:00
54,54,1,E4-D20,3,2025-12-31T08:00:00
55,55,5,E1-B10,5,2025-12-31T08:00:00
56,56,5,E4-A8,3,2025-12-31T08:00:00
57,57,13,E5-B14,2,2025-12-31T08:00:00
58,58,9,E2-B9,2,2025-12-31T08:00:00
59,59,2,E1-B10,5,2025-12-31T08:00:00
60,60,12,E5-C15,2,2025-12-31T08:00:00
61,61,8,E3-D9,5,2025-12-31T08:00:00
62,62,9,E4-D3,5,2025-12-31T08:00:00
63,63,1,E4-C20,3,2025-12-31T08:00:00
64,64,1,E1-B19,5,2025-12-31T08:00:00
65,65,1,E3-E2,2,2025-12-31T08:00:00
66,66,8,E5-D9,2,2025-12-31T08:00:00
67,67,10,E4-D3,3,2025-12-31T08:00:00
68,68,6,E4-C11,5,2025-12-31T08:00:00
69,69,2,E2-C14,5,2025-12-31T08:00:00
70,70,8,E3-D18,2,2025-12-31T08:00:00
71,71,8,E1-C9,3,2025-12-31T08:00:00
72,72,2,E4-E1,5,2025-12-31T08:00:00
73,73,14,E5-D14,2,2025-12-31T08:00:00
74,74,4,E5-C20,3,2025-12-31T08:00:00
75,75,11,E4-A7,3,2025-12-31T08:00:00
76,76,9,E2-C15,5,2025-12-31T08:00:00
77,77,8,E1-A20,2,2025-12-31T08:00:00
78,78,12,E2-C18,2,2025-12-31T08:00:00
79,79,9,E4-A8,2,2025-12-31T08:00:00
80,80,8,E1-B16,5,2025-12-31T08:00:00
81,81,5,E5-C14,3,2025-12-31T08:00:00
