stock_piece_id,piece_id,quantite_stock,emplacement,date_derniere_maj
1,1,140,SP4-46,2025-12-31T08:00:00
2,2,48,SP7-4,2025-12-31T08:00:00
3,3,197,SP8-43,2025-12-31T08:00:00
4,4,31,SP5-24,2025-12-31T08:00:00
5,5,164,SP8-43,2025-12-31T08:00:00
6,6,154,SP6-42,2025-12-31T08:00:00
7,7,77,SP7-8,2025-12-31T08:00:00
8,8,72,SP9-23,2025-12-31T08:00:00
9,9,1,SP3-44,2025-12-31T08:00:00
10,10,110,SP1-46,2025-12-31T08:00:00
11,11,91,SP2-29,2025-12-31T08:00:00
12,12,5,SP2-36,2025-12-31T08:00:00
13,13,34,SP9-33,2025-12-31T08:00:00
14,14,75,SP5-50,2025-12-31T08:00:00
15,15,93,SP7-27,2025-12-31T08:00:00
16,16,95,SP3-17,2025-12-31T08:00:00
17,17,188,SP1-30,2025-12-31T08:00:00
18,18,8,SP4-29,2025-12-31T08:00:00
19,19,79,SP8-15,2025-12-31T08:00:00
20,20,41,SP9-49,2025-12-31T08:00:00
21,21,56,SP6-36,2025-12-31T08:00:00
22,22,88,SP4-31,2025-12-31T08:00:00
23,23,52,SP3-44,2025-12-31T08:00:00
24,24,148,SP3-24,2025-12-31T08:00:00
25,25,64,SP5-24,2025-12-31T08:00:00
26,26,122,SP1-37,2025-12-31T08:00:00
27,27,185,SP9-33,2025-12-31T08:00:00
28,28,37,SP4-49,2025-12-31T08:00:00
29,29,85,SP1-13,2025-12-31T08:00:00
30,30,2,SP3-1,2025-12-31T08:00:00
31,31,49,SP2-30,2025-12-31T08:00:00
32,32,41,SP4-25,2025-12-31T08:00:00
33,33,47,SP9-7,2025-12-31T08:00:00
34,34,140,SP5-44,2025-12-31T08:00:00
35,35,80,SP2-21,2025-12-31T08:00:00
36,36,139,SP5-39,2025-12-31T08:00:00
37,37,2,SP6-24,2025-12-31T08:00:00
38,38,67,SP8-43,2025-12-31T08:00:00
39,39,41,SP10-9,2025-12-31T08:00:00
40,40,123,SP3-17,2025-12-31T08:00:00
41,41,35,SP8-33,2025-12-31T08:00:00
42,42,74,SP5-9,2025-12-31T08:00:00
43,43,8,SP2-3,2025-12-31T08:00:00
44,44,41,SP9-24,2025-12-31T08:00:00
45,45,200,SP10-5,2025-12-31T08:00:00
46,46,60,SP6-26,2025-12-31T08:00:00
47,47,59,SP10-16,2025-12-31T08:00:00
48,48,123,SP10-23,2025-12-31T08:00:00
49,49,70,SP8-44,2025-12-31T08:00:00
50,50,167,SP1-29,2025-12-31T08:00:00
51,51,34,SP7-1,2025-12-31T08:00:00
52,52,48,SP1-43,2025-12-31T08:00:00
53,53,197,SP4-47,2025-12-31T08:00:00
54,54,175,SP4-50,2025-12-31T08:00:00
55,55,151,SP6-9,2025-12-31T08:00:00
56,56,147,SP6-24,2025-12-31T08:00:00
57,57,30,SP8-26,2025-12-31T08:00:00
58,58,88,SP7-41,2025-12-31T08:00:00
59,59,138,SP1-37,2025-12-31T08:00:00
60,60,38,SP6-44,2025-12-31T08:00:00
61,61,139,SP6-19,2025-12-31T08:00:00
62,62,87,SP3-36,2025-12-31T08:00:00
63,63,14,SP10-4,2025-12-31T08:00:00
64,64,7,SP5-33,2025-12-31T08:00:00
65,65,33,SP6-7,2025-12-31T08:00:00
66,66,28,SP5-6,2025-12-31T08:00:00
67,67,35,SP9-18,2025-12-31T08:00:00
68,68,5,SP4-28,2025-12-31T08:00:00
69,69,86,SP9-18,2025-12-31T08:00:00
70,70,7,SP3-22,2025-12-31T08:00:00
71,71,167,SP6-6,2025-12-31T08:00:00
72,72,45,SP8-22,2025-12-31T08:00:00
73,73,135,SP2-14,2025-12-31T08:00:00
74,74,199,SP8-2,2025-12-31T08:00:00
75,75,116,SP4-43,2025-12-31T08:00:00
76,76,46,SP2-32,2025-12-31T08:00:00
77,77,171,SP3-47,2025-12-31T08:00:00
78,78,24,SP2-32,2025-12-31T08:00:00
79,79,42,SP5-37,2025-12-31T08:00:00
80,80,149,SP9-2,2025-12-31T08:00:00
81,81,20,SP2-21,2025-12-31T08:00:00
82,82,177,SP9-33,2025-12-31T08:00:00
83,83,57,SP8-41,2025-12-31T08:00:00
84,84,110,SP3-24,2025-12-31T08:00:00
85,85,67,SP1-21,2025-12-31T08:00:00
86,86,160,SP3-43,2025-12-31T08:00:00
87,87,146,SP10-6,2025-12-31T08:00:00
88,88,189,SP3-18,2025-12-31T08:00:00
89,89,122,SP3-27,2025-12-31T08:00:00
90,90,65,SP5-43,2025-12-31T08:00:00
91,91,73,SP1-21,2025-12-31T08:00:00
92,92,30,SP9-10,2025-12-31T08:00:00
93,93,63,SP5-3,2025-12-31T08:00:00
94,94,111,SP9-7,2025-12-31T08:00:00
95,95,183,SP8-27,2025-12-31T08:00:00
96,96,130,SP9-31,2025-12-31T08:00:00
97,97,144,SP10-20,2025-12-31T08:00:00
98,98,111,SP10-4,2025-12-31T08:00:00
99,99,179,SP9-6,2025-12-31T08:00:00
100,100,191,SP6-9,2025-12-31T08:00:00
101,101,89,SP10-27,2025-12-31T08:00:00
102,102,118,SP3-3,2025-12-31T08:00:00
103,103,140,SP8-23,2025-12-31T08:00:00
104,104,37,SP8-37,2025-12-31T08:00:00
105,105,158,SP3-7,2025-12-31T08:00:00
106,106,145,SP2-2,2025-12-31T08:00:00
107,107,60,SP7-13,2025-12-31T08:00:00
108,108,122,SP10-27,2025-12-31T08:00:00
109,109,104,SP5-42,2025-12-31T08:00:00
110,110,76,SP9-10,2025-12-31T08:00:00
111,111,71,SP8-48,2025-12-31T08:00:00
112,112,75,SP5-25,2025-12-31T08:00:00
113,113,98,SP9-43,2025-12-31T08:00:00
114,114,32,SP8-40,2025-12-31T08:00:00
115,115,54,SP7-27,2025-12-31T08:00:00
116,116,76,SP8-5,2025-12-31T08:00:00
117,117,25,SP1-33,2025-12-31T08:00:00
118,118,7,SP3-8,2025-12-31T08:00:00
119,119,7,SP10-38,2025-12-31T08:00:00
120,120,129,SP6-41,2025-12-31T08:00:00
121,121,29,SP10-49,2025-12-31T08:00:00
122,122,101,SP5-49,2025-12-31T08:00:00
123,123,101,SP7-49,2025-12-31T08:00:00
124,124,121,SP5-23,2025-12-31T08:00:00
125,125,177,SP4-9,2025-12-31T08:00:00
126,126,147,SP7-17,2025-12-31T08:00:00
127,127,93,SP8-2,2025-12-31T08:00:00
128,128,200,SP7-48,2025-12-31T08:00:00
129,129,85,SP6-29,2025-12-31T08:00:00
130,130,43,SP1-45,2025-12-31T08:00:00
131,131,135,SP4-19,2025-12-31T08:00:00
132,132,180,SP10-33,2025-12-31T08:00:00
133,133,120,SP9-37,2025-12-31T08:00:00
134,134,70,SP4-25,2025-12-31T08:00:00
135,135,19,SP2-17,2025-12-31T08:00:00
136,136,77,SP5-22,2025-12-31T08:00:00
137,137,191,SP6-4,2025-12-31T08:00:00
138,138,0,SP2-26,2025-12-31T08:00:00
139,139,125,SP8-12,2025-12-31T08:00:00
140,140,13,SP2-49,2025-12-31T08:00:00
141,141,123,SP9-10,2025-12-31T08:00:00
142,142,61,SP9-27,2025-12-31T08:00:00
143,143,58,SP9-22,2025-12-31T08:00:00
144,144,23,SP7-40,2025-12-31T08:00:00
145,145,153,SP8-39,2025-12-31T08:00:00
146,146,76,SP9-46,2025-12-31T08:00:00
147,147,195,SP4-44,2025-12-31T08:00:00
148,148,122,SP3-28,2025-12-31T08:00:00
149,149,6,SP2-27,2025-12-31T08:00:00
150,150,82,SP9-15,2025-12-31T08:00:00
151,151,15,SP1-41,2025-12-31T08:00:00
152,152,84,SP2-47,2025-12-31T08:00:00
153,153,154,SP5-15,2025-12-31T08:00:00
154,154,32,SP5-35,2025-12-31T08:00:00
155,155,72,SP4-34,2025-12-31T08:00:00
156,156,142,SP2-1,2025-12-31T08:00:00
157,157,17,SP6-42,2025-12-31T08:00:00
158,158,6,SP6-8,2025-12-31T08:00:00
159,159,35,SP3-30,2025-12-31T08:00:00
160,160,1,SP8-3,2025-12-31T08:00:00
161,161,162,SP6-10,2025-12-31T08:00:00
162,162,22,SP5-4,2025-12-31T08:00:00
163,163,143,SP5-16,2025-12-31T08:00:00
164,164,27,SP10-5,2025-12-31T08:00:00
165,165,0,SP5-19,2025-12-31T08:00:00
166,166,62,SP5-14,2025-12-31T08:00:00
167,167,4,SP6-9,2025-12-31T08:00:00
168,168,144,SP4-16,2025-12-31T08:00:00
169,169,3,SP4-34,2025-12-31T08:00:00
170,170,122,SP4-33,2025-12-31T08:00:00
171,171,192,SP9-19,2025-12-31T08:00:00
172,172,7,SP6-17,2025-12-31T08:00:00
173,173,168,SP10-5,2025-12-31T08:00:00
174,174,149,SP6-16,2025-12-31T08:00:00
175,175,118,SP5-21,2025-12-31T08:00:00
176,176,161,SP8-9,2025-12-31T08:00:00
177,177,58,SP6-44,2025-12-31T08:00:00
178,178,81,SP1-41,2025-12-31T08:00:00
179,179,186,SP8-46,2025-12-31T08:00:00
180,180,154,SP4-39,2025-12-31T08:00:00
181,181,125,SP1-4,2025-12-31T08:00:00
182,182,76,SP10-19,2025-12-31T08:00:00
183,183,29,SP4-49,2025-12-31T08:00:00
184,184,85,SP9-45,2025-12-31T08:00:00
185,185,181,SP3-44,2025-12-31T08:00:00
186,186,118,SP8-4,2025-12-31T08:00:00
187,187,1,SP4-21,2025-12-31T08:00:00
188,188,104,SP8-19,2025-12-31T08:00:00
189,189,139,SP3-46,2025-12-31T08:00:00
190,190,54,SP6-42,2025-12-31T08:00:00
191,191,84,SP7-45,2025-12-31T08:00:00
192,192,111,SP4-30,2025-12-31T08:00:00
193,193,110,SP7-12,2025-12-31T08:00:00
194,194,78,SP6-20,2025-12-31T08:00:00
195,195,19,SP10-17,2025-12-31T08:00:00
196,196,84,SP8-33,2025-12-31T08:00:00
197,197,34,SP9-34,2025-12-31T08:00:00
198,198,35,SP8-22,2025-12-31T08:00:00
199,199,3,SP5-21,2025-12-31T08:00:00
200,200,106,SP9-1,2025-12-31T08:00:00
201,201,157,SP8-46,2025-12-31T08:00:00
202,202,51,SP10-30,2025-12-31T08:00:00
203,203,91,SP4-7,2025-12-31T08:00:00
204,204,189,SP9-25,2025-12-31T08:00:00
205,205,199,SP9-42,2025-12-31T08:00:00
206,206,198,SP7-8,2025-12-31T08:00:00
207,207,162,SP6-21,2025-12-31T08:00:00
208,208,96,SP5-8,2025-12-31T08:00:00
209,209,5,SP3-2,2025-12-31T08:00:00
210,210,24,SP10-43,2025-12-31T08:00:00
211,211,25,SP2-48,2025-12-31T08:00:00
212,212,35,SP8-4,2025-12-31T08:00:00
213,213,2,SP3-43,2025-12-31T08:00:00
214,214,148,SP3-31,2025-12-31T08:00:00
215,215,67,SP8-32,2025-12-31T08:00:00
216,216,169,SP4-10,2025-12-31T08:00:00
217,217,58,SP6-17,2025-12-31T08:00:00
218,218,137,SP4-16,2025-12-31T08:00:00
219,219,73,SP4-13,2025-12-31T08:00:00
220,220,109,SP10-4,2025-12-31T08:00:00
221,221,137,SP4-11,2025-12-31T08:00:00
222,222,40,SP8-20,2025-12-31T08:00:00
223,223,182,SP1-35,2025-12-31T08:00:00
224,224,128,SP5-18,2025-12-31T08:00:00
225,225,169,SP8-50,2025-12-31T08:00:00
226,226,160,SP4-41,2025-12-31T08:00:00
227,227,130,SP10-23,2025-12-31T08:00:00
228,228,90,SP7-37,2025-12-31T08:00:00
229,229,102,SP5-38,2025-12-31T08:00:00
230,230,118,SP4-8,2025-12-31T08:00:00
231,231,43,SP10-33,2025-12-31T08:00:00
232,232,75,SP4-40,2025-12-31T08:00:00
233,233,45,SP1-31,2025-12-31T08:00:00
234,234,105,SP8-9,2025-12-31T08:00:00
235,235,107,SP1-46,2025-12-31T08:00:00
236,236,51,SP1-39,2025-12-31T08:00:00
237,237,15,SP7-31,2025-12-31T08:00:00
238,238,95,SP5-38,2025-12-31T08:00:00
239,239,194,SP5-9,2025-12-31T08:00:00
240,240,79,SP9-30,2025-12-31T08:00:00
241,241,9,SP7-6,2025-12-31T08:00:00
242,242,34,SP3-2,2025-12-31T08:00:00
243,243,21,SP1-6,2025-12-31T08:00:00
244,244,17,SP4-10,2025-12-31T08:00:00
245,245,104,SP4-2,2025-12-31T08:00:00
246,246,113,SP7-29,2025-12-31T08:00:00
247,247,46,SP1-49,2025-12-31T08:00:00
248,248,38,SP1-2,2025-12-31T08:00:00
249,249,62,SP5-50,2025-12-31T08:00:00
250,250,74,SP8-6,2025-12-31T08:00:00
251,251,119,SP8-9,2025-12-31T08:00:00
252,252,116,SP5-49,2025-12-31T08:00:00
253,253,118,SP4-39,2025-12-31T08:00:00
254,254,111,SP10-28,2025-12-31T08:00:00
255,255,45,SP1-49,2025-12-31T08:00:00
256,256,24,SP6-12,2025-12-31T08:00:00
257,257,35,SP7-16,2025-12-31T08:00:00
258,258,106,SP1-48,2025-12-31T08:00:00
259,259,69,SP5-41,2025-12-31T08:00:00
260,260,107,SP6-35,2025-12-31T08:00:00
261,261,152,SP5-22,2025-12-31T08:00:00
262,262,194,SP2-3,2025-12-31T08:00:00
263,263,5,SP2-1,2025-12-31T08:00:00
264,264,36,SP7-46,2025-12-31T08:00:00
265,265,170,SP2-18,2025-12-31T08:00:00
266,266,76,SP2-10,2025-12-31T08:00:00
267,267,122,SP4-45,2025-12-31T08:00:00
268,268,150,SP9-11,2025-12-31T08:00:00
269,269,25,SP9-28,2025-12-31T08:00:00
270,270,126,SP8-48,2025-12-31T08:00:00
271,271,169,SP8-26,2025-12-31T08:00:00
272,272,61,SP4-39,2025-12-31T08:00:00
273,273,148,SP6-20,2025-12-31T08:00:00
274,274,93,SP7-11,2025-12-31T08:00:00
275,275,100,SP9-28,2025-12-31T08:00:00
276,276,192,SP7-19,2025-12-31T08:00:00
277,277,16,SP10-18,2025-12-31T08:00:00
278,278,196,SP8-9,2025-12-31T08:00:00
279,279,111,SP8-25,2025-12-31T08:00:00
280,280,83,SP10-33,2025-12-31T08:00:00
281,281,18,SP3-49,2025-12-31T08:00:00
282,282,93,SP6-35,2025-12-31T08:00:00
283,283,120,SP8-44,2025-12-31T08:00:00
284,284,1,SP3-44,2025-12-31T08:00:00
285,285,183,SP7-30,2025-12-31T08:00:00
286,286,69,SP4-15,2025-12-31T08:00:00
287,287,87,SP1-38,2025-12-31T08:00:00
288,288,174,SP10-17,2025-12-31T08:00:00
289,289,3,SP10-34,2025-12-31T08:00:00
290,290,10,SP10-13,2025-12-31T08:00:00
291,291,166,SP9-49,2025-12-31T08:00:00
292,292,95,SP1-11,2025-12-31T08:00:00
293,293,196,SP5-26,2025-12-31T08:00:00
294,294,19,SP7-35,2025-12-31T08:00:00
295,295,138,SP2-46,2025-12-31T08:00:00
296,296,194,SP10-9,2025-12-31T08:00:00
297,297,171,SP8-36,2025-12-31T08:00:00
298,298,77,SP4-2,2025-12-31T08:00:00
299,299,67,SP4-31,2025-12-31T08:00:00
300,300,195,SP3-16,2025-12-31T08:00:00
